area,perimeter,eccentricity,circularity,mean_r,mean_g,mean_b,std_r,std_g,std_b,contrast,homogeneity,label
551.0,195.95331880577405,0.4753868941235003,0.18032511426798026,0.9010254,0.7796119,0.73050225,0.13171837,0.1517157,0.09474822,365.4444444444445,0.12064941897540257,7
351.0,166.49137802864846,0.5058548134969697,0.1591231929179756,0.67805123,0.54896957,0.6615547,0.24413386,0.26689336,0.116587006,421.25793650793656,0.11855410232588391,3
670.0,156.04163056034264,0.10699405828062127,0.34578305504550455,0.83390856,0.70857346,0.70581234,0.20576309,0.2269843,0.11922213,460.2354497354498,0.12489095021755109,6
611.0,198.29036790187178,0.2813852725785639,0.1952755353740262,0.7762456,0.63745,0.68458384,0.21725945,0.2453935,0.11785914,555.2460317460319,0.12812228318061464,6
698.0,144.97056274847716,0.0688927877580422,0.41735501566092803,0.87178373,0.7476741,0.72483987,0.14325711,0.16231488,0.08740017,239.3359788359788,0.17076734274108266,7
649.0,156.0416305603426,0.1413781312159173,0.3349450786933321,0.8190125,0.687515,0.70557725,0.21616378,0.23320693,0.1085972,462.2738095238095,0.16886985786377323,6
727.0,138.72792206135784,0.17032601224224822,0.47469702767600563,0.88891554,0.7643808,0.7294918,0.18187915,0.1875109,0.09845028,275.29365079365084,0.31426727490747736,2
666.0,152.38477631085024,0.08379428305103977,0.36041339996997357,0.85519207,0.73653954,0.72062325,0.2085853,0.21597315,0.10347926,266.66137566137564,0.24487482826376084,2
338.0,91.24873734152916,0.8354137672778762,0.5101205708899605,0.8907463,0.7711334,0.7217787,0.111653954,0.13072178,0.08111598,137.25264550264546,0.26249268246768404,7
700.0,145.79898987322335,0.20737441192769762,0.4138079917426186,0.7987695,0.6640056,0.68441385,0.16986531,0.17675963,0.088150494,283.4351851851852,0.23432780380148005,2
468.0,133.8700576850888,0.7125391250696436,0.3281623975740126,0.8169068,0.6878852,0.6907613,0.21245117,0.24740101,0.13683744,436.3769841269841,0.22761095210531646,1
550.0,172.73401871576775,0.2694959625297075,0.23164172969803262,0.8135655,0.67282915,0.6982393,0.21936862,0.25644743,0.1330255,529.3796296296296,0.16878685895600243,1
668.0,165.45584412271572,0.20013762885693348,0.3066352672656042,0.8290466,0.69534814,0.7082934,0.19281718,0.21140161,0.10194382,433.781746031746,0.11305256532173232,6
333.0,119.73401871576775,0.9227368717773003,0.2918898403151308,0.88370854,0.75029516,0.72060335,0.11728948,0.14131813,0.08583497,240.84788359788362,0.1770274723618895,7
445.0,170.7401153701776,0.32121892977643457,0.1918221409545044,0.80579233,0.6814776,0.6975641,0.21775742,0.24106118,0.11767252,596.2539682539682,0.14937532945915244,6
336.0,157.94112549695427,0.575380206009872,0.16926169452710782,0.71201986,0.5410014,0.6735994,0.21396062,0.2597918,0.1238803,625.7936507936507,0.06513530926163069,3
