area,eccentricity,solidity,contrast,homogeneity,label
598.0,0.6689796652852955,0.8641618497109826,533.973544973545,0.11870373358012729,5
391.0,0.771953020421561,0.8372591006423983,520.9047619047618,0.14897950202055582,6
630.0,0.33135160539611563,0.8160621761658031,459.5092592592593,0.07822282288097648,5
413.0,0.49776368109321495,0.8586278586278586,541.0793650793651,0.1126073467515373,1
329.0,0.40522257917593774,0.9563953488372093,531.4616402116402,0.10612921174652239,6
355.0,0.23050822349379166,0.962059620596206,541.4431216931217,0.11866289797972819,1
376.0,0.25544048643737866,0.9616368286445013,397.3267195767196,0.12822174127432634,3
378.0,0.7129205077260835,0.8094218415417559,341.5026455026455,0.1371907520764516,2
509.0,0.5592918597293688,0.7419825072886297,282.90343915343914,0.19536429228429114,2
353.0,0.3684574863476612,0.8444976076555024,542.3108465608465,0.12071869430698676,0
470.0,0.28186335277852104,0.6225165562913907,480.76719576719574,0.1055480247937205,6
83.0,0.38311202564964014,0.664,258.8042328042328,0.2267376596814992,7
354.0,0.7650024203052628,0.8509615384615384,478.75529100529104,0.1909560999981105,3
333.0,0.816121165952827,0.808252427184466,601.978835978836,0.26352952731851775,4
283.0,0.21545399472676946,0.9691780821917808,495.9246031746032,0.14351146725004119,1
458.0,0.6322797478062233,0.8419117647058824,519.3703703703704,0.12088762291640301,1
240.0,0.5615034868577505,0.9486166007905138,508.9722222222222,0.19429429939075815,2
468.0,0.5688547426660511,0.888045540796964,619.1256613756614,0.13779444716674985,6
464.0,0.8063398594869965,0.8640595903165735,372.3452380952381,0.18213536628704793,3
291.0,0.559051498492954,0.9635761589403974,558.5542328042329,0.12091306333030162,6
234.0,0.9553958911397052,0.72,190.55820105820106,0.2352405645745032,7
559.0,0.6752465864018453,0.7840112201963534,602.0462962962964,0.1011441735299073,0
148.0,0.8957039200924148,0.774869109947644,286.2605820105821,0.1934579742607213,7
343.0,0.6246877448090437,0.8575,499.49867724867727,0.1775983041289682,3
383.0,0.7833094363759324,0.8587443946188341,361.7910052910053,0.15141415297207603,3
132.0,0.8752398452168774,0.825,208.10978835978835,0.19095110348216315,7
253.0,0.3994910124899014,0.9547169811320755,488.9537037037037,0.20115700755384416,6
510.0,0.7519753795736039,0.7623318385650224,481.9801587301587,0.13203194080816208,6
308.0,0.26952131776646154,0.9746835443037974,393.21296296296293,0.13887237303549904,6
180.0,0.7617801970406537,0.7346938775510204,209.33201058201055,0.18454836837421873,7
454.0,0.5296942010788261,0.8254545454545454,514.0264550264551,0.10821289208570428,6
522.0,0.6815715968616418,0.8338658146964856,435.45767195767195,0.15004118919207632,1
352.0,0.7630198780817428,0.8564476885644768,522.4933862433862,0.16040627370160115,1
538.0,0.38359025705738875,0.8472440944881889,498.4206349206349,0.10006707203158782,3
278.0,0.867844694097645,0.7616438356164383,545.7724867724868,0.1676749547162664,4
326.0,0.8316151093649184,0.7874396135265701,578.5079365079364,0.19049472598558542,0
279.0,0.49238903817492646,0.850609756097561,525.2261904761905,0.12431600679739038,0
325.0,0.26040124365362155,0.9730538922155688,467.9841269841271,0.15485066503729836,1
393.0,0.8015019834567602,0.7631067961165049,648.3187830687831,0.13185513270317942,6
602.0,0.5268388475711941,0.8048128342245989,298.37433862433863,0.14140770626013274,2
647.0,0.26087548949380207,0.9151343705799151,203.74867724867727,0.13083754333534123,5
449.0,0.717873636862098,0.7904929577464789,639.8743386243386,0.09851864723298806,5
306.0,0.1945215841650454,0.9714285714285714,510.1296296296297,0.23577868128664214,1
582.0,0.5071039388618763,0.8362068965517241,529.1177248677249,0.07563329278540626,5
502.0,0.7342629633413467,0.8243021346469622,408.59656084656086,0.12983337610501208,6
545.0,0.6534003736669263,0.8776167471819646,402.6164021164021,0.12483109713798396,3
317.0,0.7314874385116301,0.8904494382022472,447.33068783068785,0.161282564438072,4
